tipo,codigo,nombre,grupo,horas,ubicación,horarios
admin,,Comisión para creación de Electromecánica,,6,,"M 7:30-11:30; M 16:30-18:30"
admin,,Comité Técnico de Investigación,,4,,"Th 7:30-11:30"
admin,,Coordinación Delta,,4,,"F 12:30-16:30"
curso,IF-3502,Instrumentación I,1,2,C1-02,"T 9:30-11:30"
curso,IF-3502,Instrumentación I,2,2,C1-02,"T 13:00-15:00"
curso,IF-3502,Instrumentación I,3,2,C1-02,"W 13:00-15:00"
curso,MI-4210,Lab. Control Eléctrico,3,2,D10-11,"F 09:30-11:30"
inves,"VIE: ASADAS-IoT: Desarrollo y transferencia de una plataforma tecnológica escalable, modular y abierta de para la ASADA de Paso Ancho, Oreamuno, Cartago",,4,,"T 15:00-18:30"
inves,"VIE: Desarrollo de un sistema de monitoreo y alerta para la prevención de la exposición al calor en labores agrícolas: Aplicación en la zafra de la caña de azúcar",,6,DeltaLab,"W 7:30-11:30; W 15:00-18:30"
inves,"VIE: Mant. pred. desarrollo de sist. de diagnóstico y pronóstico",,2,DeltaLab,"F 07:30-09:30"
inves,"VIE: Desarrollo de una plataforma tecnológica escalable y modular para el registro de variables físicas y químicas asociadas a la calidad y abundancia del agua potable.",,5,DeltaLab,"F 09:30-11:30; Th 16:30-18:30"
consu,Consulta,Oficina #31,2,,"Th 12:30-16:30"
desca,Almuerzo,,1,,"M,T,W,Th,F 11:30-12:30"
